step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,26,87.0,0.3832599118942731,8.459629142985998,1,2.0,0.6629338700745862,0,2.0,0.8376632931198299,2,22.0,0.43563914300538337,1,9.0,0.7877117878470911,0,11.0,0.6541146082679133,2,9.0,0.7303408531842562,1,7.0,0.45854166374408845,2,17.0,0.4807772507686751,4,26.0,0.29713158288644426,2,10.0,0.5344794530695508,5,23.0,0.4378911370837223,2,12.0,0.7356236511487626,0,15.0,0.6938224953161789,1,25.0,0.48065827033577496,0,7.0,0.46446351219753274,3,25.0,0.5672202770942486,26,222.0
160.0,33,117.0,0.5021459227467812,8.279527508555711,3,14.0,0.6045087663455132,2,6.0,0.5824457382175808,0,8.0,0.7115176704828261,1,13.0,0.4878746998526166,4,14.0,0.5051678992288093,0,5.0,0.44925829715674404,0,6.0,0.8426801023627052,2,20.0,0.1820171749159323,6,32.0,0.4619928615038384,0,6.0,0.7403483875509491,1,22.0,0.6911547288135043,1,5.0,0.6712123653115178,3,24.0,0.2936023336402197,6,31.0,0.43823973956571294,4,17.0,0.44144343776358896,0,16.0,0.7836332908617241,33,239.0
165.0,39,127.0,0.5521739130434783,7.852816464380131,1,12.0,0.5850010100147641,1,11.0,0.4335659661785893,3,14.0,0.49138907771253065,1,12.0,0.23676915502795381,2,18.0,0.4110961327587451,4,19.0,0.4665741566760045,0,4.0,0.9297629347141145,6,32.0,0.31789607645509865,1,30.0,0.5014461334620364,0,4.0,0.8715998481750273,3,13.0,0.6826780904494139,5,19.0,0.2882361315265197,7,57.0,0.3854311123940507,3,37.0,0.4109632430161712,2,21.0,0.5578590694141133,0,4.0,0.887428153346747,39,307.0
170.0,28,142.0,0.6094420600858369,8.59778295479054,2,9.0,0.5970708994062918,3,21.0,0.6795660793972645,4,32.0,0.3947786416015908,3,20.0,0.7196123257747653,2,17.0,0.7233412885235716,0,22.0,0.755254452382527,0,0.0,0.4930859032532866,1,33.0,0.5593167947715287,1,4.0,0.6389820951422351,0,0.0,0.658339819082909,1,10.0,0.41922631015883727,1,24.0,0.5336711492315707,1,50.0,0.5770961774363068,6,43.0,0.48417912851472783,3,22.0,0.5981581385191088,0,4.0,0.38794671136747566,28,311.0
175.0,28,91.0,0.3872340425531915,8.393352152454778,1,7.0,0.6175397018522164,1,12.0,0.704136545079188,2,29.0,0.4583168674585984,1,16.0,0.6908883262934165,1,7.0,0.7494468504941886,2,13.0,0.5888111848393509,1,11.0,0.6558972477515448,4,22.0,0.5516066792816631,3,12.0,0.396008871007337,2,13.0,0.5032077994960201,5,23.0,0.4091982000503584,1,12.0,0.7902989753678173,0,15.0,0.6128183100816886,1,35.0,0.551334449275464,1,19.0,0.39229793260574425,2,16.0,0.6168311509334363,28,262.0
180.0,34,122.0,0.5213675213675214,8.14648413348542,3,12.0,0.5694337313983457,2,11.0,0.5243553399498945,0,5.0,0.7179437517702519,3,16.0,0.29445080863484974,3,15.0,0.4803755708263106,3,20.0,0.2470707791826304,0,8.0,0.8902803812922587,0,15.0,0.46664438102601896,7,38.0,0.4846743120922372,0,6.0,0.7095003214649698,0,25.0,0.6075818027081947,1,6.0,0.5890419080589274,2,4.0,0.35900182171226763,5,23.0,0.4925796644970029,5,27.0,0.40717647290896647,0,8.0,0.8588867591457611,34,239.0
185.0,34,115.0,0.4811715481171548,8.082251176869834,0,6.0,0.6517739143401865,0,10.0,0.4690776991964005,1,5.0,0.47114717361501246,5,29.0,0.13122184617163282,1,13.0,0.44830697799671393,5,29.0,0.4435296427691242,0,4.0,0.9254388217488769,3,14.0,0.4077483821104299,2,42.0,0.5785251710478804,0,4.0,0.871719006493413,3,13.0,0.6583614720454951,6,26.0,0.3492014693309842,6,33.0,0.3798358414131851,1,28.0,0.4505607595198099,1,26.0,0.6412763098870035,0,4.0,0.9178339250236552,34,286.0
190.0,30,120.0,0.5042016806722689,8.353783154320418,2,6.0,0.673718705356393,2,13.0,0.7633195317634184,3,19.0,0.5101036585931606,4,36.0,0.6167025991517241,1,10.0,0.8172705132948465,1,33.0,0.6332562695026033,2,12.0,0.23951241402098264,0,18.0,0.7523735645644373,2,16.0,0.4228389338285863,0,0.0,0.7877861268474522,0,11.0,0.38804274231574365,1,35.0,0.46130681209036467,0,35.0,0.6847229346176883,7,37.0,0.386100557186776,3,19.0,0.6369864555561591,2,10.0,0.3649376739302999,30,310.0
195.0,31,126.0,0.5478260869565217,8.216139011683714,2,8.0,0.5335507856698907,0,4.0,0.845633556386412,0,13.0,0.5003179990568606,3,38.0,0.6548705759687637,0,4.0,0.803288446033499,2,19.0,0.5531961807537956,0,15.0,0.5029681871174229,1,8.0,0.7385015987088628,7,35.0,0.327442820277905,2,6.0,0.6354779427168386,6,30.0,0.3332050155610266,3,25.0,0.7093447660776212,0,6.0,0.8191666206454894,3,46.0,0.40043475274502716,0,16.0,0.41267870939720414,2,22.0,0.6274898289570109,31,295.0
200.0,34,123.0,0.5082644628099173,7.8851665539250675,4,21.0,0.6113992508263159,1,4.0,0.5831386606171619,0,0.0,0.6390195366880614,5,40.0,0.32482171205507,3,8.0,0.5824735760577288,2,22.0,0.24863117396624307,0,8.0,0.8034899769499035,0,4.0,0.19073652578738232,4,43.0,0.5389522479869414,0,4.0,0.542644110455722,2,36.0,0.5934436306953497,0,14.0,0.5864092093672709,2,5.0,0.49810668702435845,5,39.0,0.4599926570109072,6,26.0,0.36324024460166754,0,8.0,0.8321730107543629,34,282.0
